County Name,Label _Grouping,Total,"Total Less than $10,000","Total $10,000 to $14,999","Total 15,000 to $24,999","Total $25,000 to $34,999","Total $35,000 to $49,999","Total $50,000 to $74,999","Total $75,000 to $99,999","Total $100,000 to $149,999","Total $150,000 to $199,999","Total $200,000 or more",Median income (dollars),Mean income (dollars),PERCENT ALLOCATED,PERCENT ALLOCATED Household income in the past 12 months,PERCENT ALLOCATED Family income in the past 12 months,PERCENT ALLOCATED Nonfamily income in the past 12 months
"Wayne County, Iowa",        Estimate,,,,,,,,,,,,,,,,,
"Webster County, Iowa","Webster County, Iowa",,,,,,,,,,,,,,,,,
"Webster County, Iowa",    Households,"15,605",8.00%,4.70%,12.40%,11.50%,11.50%,21.00%,12.40%,12.40%,3.80%,2.40%,"51,909","65,110",,38.90%,(X),(X)
"Webster County, Iowa",        Estimate,,,,,,,,,,,,,,,,,
"Webster County, Iowa",    Families,"8,886",5.40%,1.80%,7.90%,9.10%,10.40%,21.30%,18.20%,17.40%,5.10%,3.40%,"68,809","79,807",,(X),40.60%,(X)
"Webster County, Iowa",        Estimate,,,,,,,,,,,,,,,,,
"Webster County, Iowa",    Married-couple families,"6,427",3.80%,1.00%,5.30%,5.60%,7.50%,22.30%,20.30%,22.40%,7.10%,4.70%,"81,569",N,,(X),(X),(X)
"Webster County, Iowa",        Estimate,,,,,,,,,,,,,,,,,
"Webster County, Iowa",    Nonfamily households,"6,719",12.00%,8.60%,19.20%,14.60%,13.40%,20.90%,4.70%,4.00%,1.50%,0.90%,"31,804","42,612",,(X),(X),35.70%
"Webster County, Iowa",        Estimate,,,,,,,,,,,,,,,,,
"Winnebago County, Iowa","Winnebago County, Iowa",,,,,,,,,,,,,,,,,
"Winnebago County, Iowa",    Households,"4,533",4.40%,3.80%,10.10%,11.70%,18.20%,16.80%,15.40%,14.50%,3.50%,1.70%,"51,581","66,585",,31.90%,(X),(X)
"Winnebago County, Iowa",        Estimate,,,,,,,,,,,,,,,,,
"Winnebago County, Iowa",    Families,"2,627",1.30%,1.60%,3.50%,9.30%,18.10%,17.50%,21.00%,20.30%,4.90%,2.60%,"71,467","83,071",,(X),26.30%,(X)
"Winnebago County, Iowa",        Estimate,,,,,,,,,,,,,,,,,
"Winnebago County, Iowa",    Married-couple families,"2,092",0.40%,0.50%,3.00%,4.70%,13.90%,17.30%,25.90%,24.90%,6.10%,3.30%,"83,144",N,,(X),(X),(X)
"Winnebago County, Iowa",        Estimate,,,,,,,,,,,,,,,,,
"Winnebago County, Iowa",    Nonfamily households,"1,906",9.50%,6.90%,19.90%,14.10%,19.50%,16.40%,6.80%,4.90%,1.60%,0.40%,"34,773","42,019",,(X),(X),38.90%
"Winnebago County, Iowa",        Estimate,,,,,,,,,,,,,,,,,
"Winneshiek County, Iowa","Winneshiek County, Iowa",,,,,,,,,,,,,,,,,
"Winneshiek County, Iowa",    Households,"8,265",4.80%,3.60%,8.60%,10.70%,10.90%,21.40%,16.30%,15.30%,4.20%,4.20%,"63,162","77,515",,33.50%,(X),(X)
"Winneshiek County, Iowa",        Estimate,,,,,,,,,,,,,,,,,
"Winneshiek County, Iowa",    Families,"5,269",0.70%,0.60%,5.80%,8.00%,8.20%,21.60%,21.80%,21.70%,6.40%,5.10%,"82,960","95,604",,(X),33.30%,(X)
"Winneshiek County, Iowa",        Estimate,,,,,,,,,,,,,,,,,
"Winneshiek County, Iowa",    Married-couple families,"4,501",0.50%,0.20%,3.40%,7.50%,5.50%,21.60%,22.50%,25.40%,7.40%,6.00%,"89,434",N,,(X),(X),(X)
"Winneshiek County, Iowa",        Estimate,,,,,,,,,,,,,,,,,
"Winneshiek County, Iowa",    Nonfamily households,"2,996",12.00%,8.70%,14.10%,15.50%,17.20%,19.50%,6.70%,3.30%,0.60%,2.60%,"34,851","44,570",,(X),(X),33.30%
"Winneshiek County, Iowa",        Estimate,,,,,,,,,,,,,,,,,
"Woodbury County, Iowa","Woodbury County, Iowa",,,,,,,,,,,,,,,,,
"Woodbury County, Iowa",    Households,"39,523",5.60%,4.00%,9.90%,9.60%,11.80%,18.60%,15.30%,16.60%,4.70%,3.90%,"60,768","74,941",,44.60%,(X),(X)
"Woodbury County, Iowa",        Estimate,,,,,,,,,,,,,,,,,
"Woodbury County, Iowa",    Families,"25,810",3.70%,2.10%,6.60%,8.20%,12.20%,19.20%,16.20%,20.60%,6.40%,4.80%,"71,611","84,493",,(X),44.00%,(X)
"Woodbury County, Iowa",        Estimate,,,,,,,,,,,,,,,,,
"Woodbury County, Iowa",    Married-couple families,"18,164",0.90%,1.10%,3.60%,5.90%,8.50%,19.00%,19.30%,26.50%,8.80%,6.30%,"88,458","99,613",,(X),(X),(X)
"Woodbury County, Iowa",        Estimate,,,,,,,,,,,,,,,,,
"Woodbury County, Iowa",    Nonfamily households,"13,713",11.60%,7.90%,17.10%,13.90%,13.10%,18.90%,8.70%,5.90%,0.90%,2.00%,"34,457","49,980",,(X),(X),43.20%
"Woodbury County, Iowa",        Estimate,,,,,,,,,,,,,,,,,
"Worth County, Iowa","Worth County, Iowa",,,,,,,,,,,,,,,,,
"Worth County, Iowa",    Households,"3,199",3.10%,3.20%,9.90%,9.10%,15.20%,18.00%,17.80%,14.20%,5.50%,4.00%,"60,442","75,168",,27.10%,(X),(X)
"Worth County, Iowa",        Estimate,,,,,,,,,,,,,,,,,
"Worth County, Iowa",    Families,"2,100",2.10%,0.60%,3.00%,7.30%,13.70%,21.50%,20.60%,19.70%,6.20%,5.20%,"76,059","88,003",,(X),28.10%,(X)
"Worth County, Iowa",        Estimate,,,,,,,,,,,,,,,,,
"Worth County, Iowa",    Married-couple families,"1,651",0.80%,0.00%,1.60%,5.80%,13.20%,20.10%,22.80%,21.70%,7.80%,6.20%,"81,745",N,,(X),(X),(X)
"Worth County, Iowa",        Estimate,,,,,,,,,,,,,,,,,
"Worth County, Iowa",    Nonfamily households,"1,099",7.20%,7.90%,23.90%,14.60%,16.80%,14.50%,9.90%,2.80%,1.40%,0.90%,"31,477","43,160",,(X),(X),24.40%
"Worth County, Iowa",        Estimate,,,,,,,,,,,,,,,,,
"Wright County, Iowa","Wright County, Iowa",,,,,,,,,,,,,,,,,
"Wright County, Iowa",    Households,"5,582",4.00%,3.80%,11.50%,13.00%,16.60%,22.30%,11.60%,12.20%,3.00%,2.10%,"51,221","65,039",,43.90%,(X),(X)
"Wright County, Iowa",        Estimate,,,,,,,,,,,,,,,,,
"Wright County, Iowa",    Families,"3,423",3.20%,1.40%,5.60%,11.30%,15.60%,24.50%,15.50%,16.10%,4.30%,2.70%,"64,072","76,469",,(X),42.40%,(X)
"Wright County, Iowa",        Estimate,,,,,,,,,,,,,,,,,
"Wright County, Iowa",    Married-couple families,"2,698",1.20%,0.50%,3.00%,9.00%,14.90%,25.90%,17.90%,19.60%,4.70%,3.20%,"72,579",N,,(X),(X),(X)
"Wright County, Iowa",        Estimate,,,,,,,,,,,,,,,,,
"Wright County, Iowa",    Nonfamily households,"2,159",7.50%,8.00%,21.00%,15.50%,19.60%,17.10%,3.60%,5.80%,0.90%,1.10%,"33,299","44,645",,(X),(X),45.40%
"Wright County, Iowa",        Estimate,,,,,,,,,,,,,,,,,
"Allen County, Kansas","Allen County, Kansas",,,,,,,,,,,,,,,,,
"Allen County, Kansas",    Households,"5,125",6.50%,6.60%,11.50%,13.00%,14.00%,22.10%,14.00%,8.60%,2.50%,1.20%,"47,983","55,965",,33.30%,(X),(X)
"Allen County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Allen County, Kansas",    Families,"3,255",5.90%,3.70%,5.30%,11.40%,11.80%,23.90%,19.40%,12.80%,3.90%,1.80%,"58,702","67,586",,(X),33.90%,(X)
"Allen County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Allen County, Kansas",    Married-couple families,"2,405",0.70%,3.50%,3.60%,7.10%,11.30%,24.60%,25.50%,16.10%,5.20%,2.50%,"74,306",N,,(X),(X),(X)
"Allen County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Allen County, Kansas",    Nonfamily households,"1,870",10.50%,12.60%,20.50%,15.30%,17.20%,18.90%,3.80%,1.00%,0.00%,0.20%,"27,326","34,066",,(X),(X),32.10%
"Allen County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Anderson County, Kansas","Anderson County, Kansas",,,,,,,,,,,,,,,,,
"Anderson County, Kansas",    Households,"3,154",5.30%,7.40%,16.00%,10.70%,6.90%,23.00%,11.60%,12.80%,2.90%,3.40%,"52,995","65,454",,31.00%,(X),(X)
"Anderson County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Anderson County, Kansas",    Families,"2,194",3.60%,4.70%,11.10%,8.60%,5.80%,24.40%,15.90%,17.00%,4.00%,4.80%,"66,160","78,033",,(X),31.80%,(X)
"Anderson County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Anderson County, Kansas",    Married-couple families,"1,672",1.00%,4.30%,8.00%,6.80%,6.60%,24.30%,18.70%,20.90%,4.70%,4.70%,"74,420",N,,(X),(X),(X)
"Anderson County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Anderson County, Kansas",    Nonfamily households,960,12.20%,13.40%,27.80%,12.80%,9.40%,19.00%,2.10%,2.90%,0.20%,0.20%,"23,578","35,105",,(X),(X),29.20%
"Anderson County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Atchison County, Kansas","Atchison County, Kansas",,,,,,,,,,,,,,,,,
"Atchison County, Kansas",    Households,"6,039",6.60%,5.00%,10.70%,8.80%,18.60%,17.00%,13.60%,15.00%,2.30%,2.40%,"50,683","63,366",,40.20%,(X),(X)
"Atchison County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Atchison County, Kansas",    Families,"3,926",5.20%,1.70%,5.00%,5.80%,16.10%,22.90%,17.90%,18.80%,3.50%,3.10%,"63,560","75,646",,(X),38.50%,(X)
"Atchison County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Atchison County, Kansas",    Married-couple families,"2,983",0.70%,0.60%,4.70%,5.00%,14.00%,23.80%,19.90%,22.60%,4.60%,4.10%,"75,896",N,,(X),(X),(X)
"Atchison County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Atchison County, Kansas",    Nonfamily households,"2,113",9.30%,11.70%,23.00%,14.20%,23.00%,5.90%,4.10%,7.70%,0.20%,0.90%,"29,148","38,584",,(X),(X),42.50%
"Atchison County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Barber County, Kansas","Barber County, Kansas",,,,,,,,,,,,,,,,,
"Barber County, Kansas",    Households,"1,931",5.30%,9.00%,11.10%,7.20%,17.70%,19.50%,10.40%,13.30%,3.50%,3.00%,"49,668","67,418",,38.90%,(X),(X)
"Barber County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Barber County, Kansas",    Families,"1,217",2.70%,6.70%,4.50%,6.20%,20.70%,19.20%,15.00%,16.20%,4.90%,3.80%,"64,653","76,421",,(X),37.10%,(X)
"Barber County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Barber County, Kansas",    Married-couple families,989,2.50%,4.20%,1.80%,4.10%,22.80%,22.60%,14.70%,17.40%,6.10%,3.70%,"67,006",N,,(X),(X),(X)
"Barber County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Barber County, Kansas",    Nonfamily households,714,9.90%,13.40%,22.10%,10.20%,12.30%,18.30%,2.50%,8.40%,1.00%,1.70%,"30,952","51,506",,(X),(X),41.90%
"Barber County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Barton County, Kansas","Barton County, Kansas",,,,,,,,,,,,,,,,,
"Barton County, Kansas",    Households,"10,628",5.00%,4.80%,14.60%,11.80%,15.20%,18.90%,11.80%,11.80%,4.10%,2.00%,"48,863","63,924",,40.20%,(X),(X)
"Barton County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Barton County, Kansas",    Families,"6,837",2.50%,2.50%,7.50%,10.20%,14.10%,21.90%,14.90%,17.50%,6.00%,2.90%,"65,821","79,223",,(X),38.60%,(X)
"Barton County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Barton County, Kansas",    Married-couple families,"5,337",1.60%,1.40%,4.80%,5.50%,12.80%,24.60%,16.70%,22.00%,7.10%,3.50%,"74,479",N,,(X),(X),(X)
"Barton County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Barton County, Kansas",    Nonfamily households,"3,791",10.90%,9.20%,29.00%,14.40%,16.90%,11.10%,6.00%,1.60%,0.30%,0.50%,"25,522","34,132",,(X),(X),41.80%
"Barton County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Bourbon County, Kansas","Bourbon County, Kansas",,,,,,,,,,,,,,,,,
"Bourbon County, Kansas",    Households,"5,921",6.50%,6.00%,14.50%,11.10%,14.30%,20.10%,13.70%,9.80%,2.80%,1.10%,"46,369","58,076",,39.00%,(X),(X)
"Bourbon County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Bourbon County, Kansas",    Families,"3,831",2.50%,2.20%,7.80%,11.20%,17.10%,25.00%,15.80%,12.70%,4.10%,1.50%,"58,036","66,954",,(X),40.40%,(X)
"Bourbon County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Bourbon County, Kansas",    Married-couple families,"3,103",0.70%,1.60%,6.00%,7.60%,15.40%,28.30%,18.80%,15.00%,5.00%,1.50%,"64,371",N,,(X),(X),(X)
"Bourbon County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Bourbon County, Kansas",    Nonfamily households,"2,090",14.10%,13.40%,28.00%,12.20%,14.00%,4.20%,8.40%,4.60%,0.40%,0.60%,"23,176","39,490",,(X),(X),35.30%
"Bourbon County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Brown County, Kansas","Brown County, Kansas",,,,,,,,,,,,,,,,,
"Brown County, Kansas",    Households,"3,757",5.90%,3.50%,8.70%,13.80%,17.70%,20.70%,13.60%,11.00%,3.30%,1.90%,"50,649","62,725",,45.10%,(X),(X)
"Brown County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Brown County, Kansas",    Families,"2,492",3.40%,2.70%,5.70%,10.40%,15.20%,25.40%,16.40%,13.80%,4.30%,2.60%,"61,535","72,250",,(X),43.70%,(X)
"Brown County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Brown County, Kansas",    Married-couple families,"1,971",1.00%,2.00%,3.90%,9.00%,13.90%,29.00%,17.90%,16.10%,4.00%,3.30%,"64,747",N,,(X),(X),(X)
"Brown County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Brown County, Kansas",    Nonfamily households,"1,265",12.90%,6.20%,14.40%,20.50%,21.20%,10.60%,7.80%,5.80%,0.20%,0.50%,"33,170","41,240",,(X),(X),46.60%
"Brown County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Butler County, Kansas","Butler County, Kansas",,,,,,,,,,,,,,,,,
"Butler County, Kansas",    Households,"24,833",4.90%,5.20%,7.30%,8.70%,11.90%,17.40%,15.50%,19.30%,5.70%,4.10%,"66,405","81,950",,30.70%,(X),(X)
"Butler County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Butler County, Kansas",    Families,"17,839",2.80%,1.30%,3.30%,5.50%,10.70%,19.60%,19.00%,25.30%,7.60%,5.00%,"83,602","95,631",,(X),30.20%,(X)
"Butler County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Butler County, Kansas",    Married-couple families,"14,711",1.00%,0.80%,1.60%,4.50%,10.40%,18.10%,20.60%,28.30%,9.00%,5.50%,"90,914","103,385",,(X),(X),(X)
"Butler County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Butler County, Kansas",    Nonfamily households,"6,994",11.40%,15.10%,18.00%,16.40%,14.70%,12.70%,6.00%,3.10%,0.70%,1.80%,"30,419","44,670",,(X),(X),31.30%
"Butler County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Chase County, Kansas","Chase County, Kansas",,,,,,,,,,,,,,,,,
"Chase County, Kansas",    Households,"1,082",4.80%,4.80%,13.30%,12.40%,15.30%,21.40%,11.40%,12.80%,0.70%,3.00%,"48,906","69,874",,32.90%,(X),(X)
"Chase County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Chase County, Kansas",    Families,714,2.40%,0.80%,5.60%,11.20%,16.90%,25.20%,13.90%,18.30%,1.10%,4.50%,"58,663","88,395",,(X),29.00%,(X)
"Chase County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Chase County, Kansas",    Married-couple families,596,2.30%,0.70%,3.90%,8.90%,13.80%,27.50%,15.60%,20.60%,1.30%,5.40%,"67,875",N,,(X),(X),(X)
"Chase County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Chase County, Kansas",    Nonfamily households,368,10.30%,12.50%,28.30%,15.50%,10.60%,14.10%,6.50%,2.20%,0.00%,0.00%,"24,444","33,506",,(X),(X),40.50%
"Chase County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Chautauqua County, Kansas","Chautauqua County, Kansas",,,,,,,,,,,,,,,,,
"Chautauqua County, Kansas",    Households,"1,418",7.80%,4.70%,18.50%,12.80%,17.60%,19.30%,10.40%,4.30%,1.80%,2.80%,"39,500","53,208",,38.30%,(X),(X)
"Chautauqua County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Chautauqua County, Kansas",    Families,950,3.40%,2.50%,21.90%,9.70%,14.90%,22.50%,13.20%,5.40%,2.50%,4.00%,"48,526","61,517",,(X),36.90%,(X)
"Chautauqua County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Chautauqua County, Kansas",    Married-couple families,751,3.10%,1.70%,18.00%,6.70%,14.90%,25.40%,15.60%,6.80%,3.20%,4.70%,"55,341",N,,(X),(X),(X)
"Chautauqua County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Chautauqua County, Kansas",    Nonfamily households,468,17.30%,9.20%,22.40%,18.80%,13.50%,11.30%,4.90%,2.10%,0.00%,0.40%,"27,838","33,065",,(X),(X),40.40%
"Chautauqua County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Cherokee County, Kansas","Cherokee County, Kansas",,,,,,,,,,,,,,,,,
"Cherokee County, Kansas",    Households,"7,954",7.00%,7.30%,13.40%,13.50%,15.60%,17.50%,12.50%,9.40%,2.80%,1.00%,"41,936","54,618",,32.40%,(X),(X)
"Cherokee County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Cherokee County, Kansas",    Families,"4,914",2.50%,4.30%,6.30%,11.90%,15.60%,22.70%,17.80%,13.50%,3.70%,1.60%,"57,736","67,806",,(X),32.30%,(X)
"Cherokee County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Cherokee County, Kansas",    Married-couple families,"3,873",1.80%,2.80%,4.00%,8.50%,13.60%,26.30%,20.90%,15.30%,4.70%,2.10%,"63,750",N,,(X),(X),(X)
"Cherokee County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Cherokee County, Kansas",    Nonfamily households,"3,040",15.00%,13.10%,25.40%,15.20%,15.40%,8.80%,3.20%,2.80%,1.20%,0.00%,"23,202","32,168",,(X),(X),32.10%
"Cherokee County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Cheyenne County, Kansas","Cheyenne County, Kansas",,,,,,,,,,,,,,,,,
"Cheyenne County, Kansas",    Households,"1,263",7.50%,8.50%,13.10%,12.80%,13.30%,20.30%,7.40%,10.70%,2.50%,3.90%,"42,802","57,896",,51.80%,(X),(X)
"Cheyenne County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Cheyenne County, Kansas",    Families,651,2.60%,4.10%,5.70%,8.40%,17.40%,23.00%,12.60%,13.80%,4.90%,7.40%,"63,105","78,630",,(X),48.80%,(X)
"Cheyenne County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Cheyenne County, Kansas",    Married-couple families,515,1.40%,4.30%,5.80%,3.90%,12.80%,24.50%,14.40%,17.50%,6.20%,9.30%,"73,125",N,,(X),(X),(X)
"Cheyenne County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Cheyenne County, Kansas",    Nonfamily households,612,12.70%,13.10%,21.10%,17.50%,10.00%,17.60%,1.80%,6.00%,0.00%,0.20%,"26,900","34,750",,(X),(X),54.90%
"Cheyenne County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Clark County, Kansas","Clark County, Kansas",,,,,,,,,,,,,,,,,
"Clark County, Kansas",    Households,890,5.80%,2.80%,11.50%,7.60%,19.40%,20.60%,15.10%,9.10%,5.10%,3.00%,"52,500","65,561",,45.80%,(X),(X)
"Clark County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Clark County, Kansas",    Families,539,2.80%,2.40%,8.30%,2.80%,16.30%,26.20%,21.30%,13.00%,4.80%,2.00%,"62,438","73,744",,(X),46.00%,(X)
"Clark County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Clark County, Kansas",    Married-couple families,442,2.30%,0.50%,6.80%,2.70%,17.90%,28.30%,17.60%,15.80%,5.70%,2.50%,"64,286",N,,(X),(X),(X)
"Clark County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Clark County, Kansas",    Nonfamily households,351,10.50%,3.40%,17.90%,13.40%,24.20%,12.00%,10.00%,3.10%,0.90%,4.60%,"40,772","49,128",,(X),(X),44.40%
"Clark County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Clay County, Kansas","Clay County, Kansas",,,,,,,,,,,,,,,,,
"Clay County, Kansas",    Households,"3,741",9.10%,5.60%,8.10%,12.20%,15.50%,23.40%,10.30%,8.60%,4.10%,3.10%,"47,880","62,390",,29.40%,(X),(X)
"Clay County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Clay County, Kansas",    Families,"2,373",4.60%,0.30%,2.10%,9.90%,15.20%,28.40%,18.50%,9.70%,6.50%,4.80%,"67,695","79,619",,(X),26.80%,(X)
"Clay County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Clay County, Kansas",    Married-couple families,"1,908",0.10%,0.20%,1.90%,8.20%,15.30%,30.30%,18.30%,11.60%,8.10%,6.00%,"69,286",N,,(X),(X),(X)
"Clay County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Clay County, Kansas",    Nonfamily households,"1,368",16.90%,15.10%,18.50%,16.70%,16.50%,13.70%,0.80%,1.70%,0.00%,0.10%,"24,583","30,088",,(X),(X),29.50%
"Clay County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Cloud County, Kansas","Cloud County, Kansas",,,,,,,,,,,,,,,,,
"Cloud County, Kansas",    Households,"3,641",6.50%,2.90%,10.30%,11.50%,19.80%,23.30%,11.70%,9.90%,2.60%,1.50%,"48,295","60,907",,35.50%,(X),(X)
"Cloud County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Cloud County, Kansas",    Families,"2,279",2.30%,1.60%,8.90%,10.10%,19.60%,23.60%,13.90%,15.30%,3.00%,1.80%,"59,839","70,495",,(X),32.80%,(X)
"Cloud County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Cloud County, Kansas",    Married-couple families,"1,778",1.20%,0.30%,2.60%,10.80%,19.10%,26.10%,16.30%,17.50%,3.90%,2.20%,"66,000",N,,(X),(X),(X)
"Cloud County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Cloud County, Kansas",    Nonfamily households,"1,362",13.60%,6.90%,20.20%,12.30%,20.80%,17.30%,5.70%,1.90%,0.50%,1.00%,"31,867","39,476",,(X),(X),35.20%
"Cloud County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Coffey County, Kansas","Coffey County, Kansas",,,,,,,,,,,,,,,,,
"Coffey County, Kansas",    Households,"3,648",3.90%,5.50%,8.60%,11.40%,12.40%,17.30%,12.80%,19.40%,5.10%,3.50%,"59,405","75,210",,27.70%,(X),(X)
"Coffey County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Coffey County, Kansas",    Families,"2,468",2.80%,4.00%,6.40%,5.80%,10.10%,20.50%,14.70%,24.40%,7.40%,3.90%,"76,136","87,834",,(X),25.00%,(X)
"Coffey County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Coffey County, Kansas",    Married-couple families,"1,931",0.70%,0.60%,4.20%,4.60%,9.90%,20.40%,17.10%,28.70%,9.40%,4.20%,"88,614","98,276",,(X),(X),(X)
"Coffey County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Coffey County, Kansas",    Nonfamily households,"1,180",8.60%,9.90%,14.30%,22.40%,16.40%,12.60%,7.50%,5.50%,0.50%,2.10%,"32,721","43,240",,(X),(X),29.10%
"Coffey County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Comanche County, Kansas","Comanche County, Kansas",,,,,,,,,,,,,,,,,
"Comanche County, Kansas",    Households,818,5.40%,3.80%,14.10%,8.40%,19.40%,20.50%,14.20%,9.30%,3.40%,1.50%,"48,125","61,329",,36.90%,(X),(X)
"Comanche County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Comanche County, Kansas",    Families,458,2.40%,2.80%,5.70%,2.20%,14.20%,25.50%,24.20%,15.70%,4.60%,2.60%,"73,587","81,128",,(X),43.70%,(X)
"Comanche County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Comanche County, Kansas",    Married-couple families,382,1.80%,3.40%,6.00%,1.80%,13.60%,20.40%,28.30%,18.30%,3.10%,3.10%,"78,625",N,,(X),(X),(X)
"Comanche County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Comanche County, Kansas",    Nonfamily households,360,9.20%,5.00%,25.60%,16.40%,26.40%,13.30%,2.20%,0.00%,1.90%,0.00%,"30,119","35,002",,(X),(X),28.10%
"Comanche County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Cowley County, Kansas","Cowley County, Kansas",,,,,,,,,,,,,,,,,
"Cowley County, Kansas",    Households,"13,800",6.90%,4.60%,12.00%,9.80%,15.80%,19.60%,14.00%,12.50%,2.70%,2.20%,"50,786","65,630",,35.20%,(X),(X)
"Cowley County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Cowley County, Kansas",    Families,"8,657",4.80%,1.60%,7.30%,7.40%,17.00%,22.00%,15.80%,18.00%,3.80%,2.20%,"60,888","74,438",,(X),33.60%,(X)
"Cowley County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Cowley County, Kansas",    Married-couple families,"6,536",1.40%,0.80%,4.70%,6.30%,14.30%,23.20%,19.10%,22.50%,4.90%,2.90%,"74,153",N,,(X),(X),(X)
"Cowley County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Cowley County, Kansas",    Nonfamily households,"5,143",13.50%,10.40%,20.30%,14.10%,17.10%,13.20%,6.40%,3.20%,0.10%,1.80%,"29,041","45,733",,(X),(X),36.60%
"Cowley County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Crawford County, Kansas","Crawford County, Kansas",,,,,,,,,,,,,,,,,
"Crawford County, Kansas",    Households,"15,603",8.60%,8.40%,13.70%,11.60%,15.60%,15.00%,11.60%,11.00%,2.10%,2.40%,"42,615","57,109",,27.50%,(X),(X)
"Crawford County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Crawford County, Kansas",    Families,"9,581",5.30%,2.90%,10.40%,9.80%,16.60%,16.70%,15.80%,16.50%,2.50%,3.40%,"57,300","70,866",,(X),27.00%,(X)
"Crawford County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
"Crawford County, Kansas",    Married-couple families,"6,714",1.80%,1.10%,7.00%,5.30%,15.40%,19.30%,20.20%,22.60%,3.00%,4.20%,"75,022","83,351",,(X),(X),(X)
"Crawford County, Kansas",        Estimate,,,,,,,,,,,,,,,,,
