County Name,Label _Grouping,Total,"Total Less than $10,000","Total $10,000 to $14,999","Total 15,000 to $24,999","Total $25,000 to $34,999","Total $35,000 to $49,999","Total $50,000 to $74,999","Total $75,000 to $99,999","Total $100,000 to $149,999","Total $150,000 to $199,999","Total $200,000 or more",Median income (dollars),Mean income (dollars),PERCENT ALLOCATED,PERCENT ALLOCATED Household income in the past 12 months,PERCENT ALLOCATED Family income in the past 12 months,PERCENT ALLOCATED Nonfamily income in the past 12 months
"Marin County, California",    Households,"104,900",3.10%,2.30%,4.60%,4.50%,6.80%,11.40%,9.50%,16.40%,11.50%,29.80%,"121,671","181,737",,35.50%,(X),(X)
"Marin County, California",    Families,"66,101",1.60%,1.10%,2.50%,3.10%,5.20%,8.50%,8.00%,16.90%,13.50%,39.60%,"159,898","223,262",,(X),35.80%,(X)
"Marin County, California",    Married-couple families,"53,710",0.90%,0.70%,1.20%,2.40%,3.50%,6.80%,7.40%,17.30%,14.60%,45.40%,"182,363",N,,(X),(X),(X)
"Marin County, California",    Nonfamily households,"38,799",6.10%,4.60%,8.80%,7.20%,10.60%,16.30%,12.20%,15.00%,8.10%,11.20%,"67,274","104,746",,(X),(X),33.50%
"Mariposa County, California",    Households,"7,846",5.60%,6.10%,11.50%,14.50%,11.10%,19.80%,13.30%,10.10%,5.20%,2.90%,"50,960","64,323",,32.00%,(X),(X)
"Mariposa County, California",    Families,"4,762",4.60%,2.90%,3.70%,16.10%,8.10%,24.80%,15.30%,13.10%,7.50%,3.90%,"59,242","76,988",,(X),35.80%,(X)
"Mariposa County, California",    Married-couple families,"3,524",1.80%,1.00%,4.10%,15.40%,7.30%,22.40%,18.20%,16.10%,9.20%,4.60%,"70,773",N,,(X),(X),(X)
"Mariposa County, California",    Nonfamily households,"3,084",7.90%,11.00%,23.00%,13.00%,15.60%,13.40%,9.60%,4.60%,0.70%,1.20%,"29,038","42,504",,(X),(X),25.30%
"Mendocino County, California",    Households,"34,164",5.10%,6.90%,10.50%,10.90%,13.50%,18.70%,10.80%,13.50%,5.20%,4.90%,"52,915","74,102",,37.50%,(X),(X)
"Mendocino County, California",    Families,"21,035",3.70%,3.40%,8.50%,9.00%,13.90%,18.50%,12.80%,16.70%,7.40%,6.20%,"64,887","84,379",,(X),38.10%,(X)
"Mendocino County, California",    Married-couple families,"14,691",1.50%,1.00%,3.40%,7.40%,12.40%,20.60%,14.10%,21.80%,9.90%,7.90%,"80,145","100,068",,(X),(X),(X)
"Mendocino County, California",    Nonfamily households,"13,129",8.60%,14.70%,15.60%,13.60%,12.60%,16.60%,6.20%,8.20%,1.50%,2.50%,"32,259","53,550",,(X),(X),33.80%
"Merced County, California",    Households,"81,306",5.50%,5.20%,9.20%,9.70%,15.30%,19.90%,12.10%,13.70%,4.90%,4.70%,"56,330","76,432",,44.90%,(X),(X)
"Merced County, California",    Families,"62,032",5.30%,3.90%,7.90%,8.70%,14.60%,20.30%,14.00%,14.90%,5.40%,5.00%,"61,162","81,444",,(X),46.00%,(X)
"Merced County, California",    Married-couple families,"40,490",1.70%,1.90%,6.10%,6.30%,13.30%,21.70%,15.80%,18.60%,7.50%,7.10%,"74,062","98,349",,(X),(X),(X)
"Merced County, California",    Nonfamily households,"19,274",11.10%,11.20%,14.90%,13.60%,16.00%,14.70%,6.90%,6.30%,2.90%,2.50%,"34,079","50,322",,(X),(X),35.20%
"Modoc County, California",    Households,"3,594",6.30%,3.60%,11.10%,17.30%,10.40%,23.60%,13.50%,10.40%,3.20%,0.70%,"51,250","59,138",,34.40%,(X),(X)
"Modoc County, California",    Families,"2,338",2.70%,1.50%,7.30%,19.20%,11.10%,27.30%,13.60%,12.70%,3.70%,0.90%,"57,319","66,045",,(X),36.60%,(X)
"Modoc County, California",    Married-couple families,"1,872",0.60%,1.80%,5.60%,17.30%,12.20%,27.10%,14.30%,15.50%,4.60%,1.20%,"61,974",N,,(X),(X),(X)
"Modoc County, California",    Nonfamily households,"1,256",15.20%,7.60%,18.70%,14.60%,9.40%,17.00%,10.70%,4.20%,2.30%,0.20%,"28,854","43,054",,(X),(X),27.90%
"Mono County, California",    Households,"5,196",2.90%,2.70%,5.30%,4.80%,13.80%,27.40%,19.40%,12.70%,5.10%,5.80%,"64,924","86,977",,26.30%,(X),(X)
"Mono County, California",    Families,"2,808",4.50%,2.80%,1.50%,5.10%,7.70%,24.00%,21.90%,18.70%,5.50%,8.20%,"84,200","102,484",,(X),30.70%,(X)
"Mono County, California",    Married-couple families,"2,221",0.90%,3.50%,1.40%,5.50%,6.80%,18.00%,26.30%,20.20%,6.90%,10.40%,"93,243",N,,(X),(X),(X)
"Mono County, California",    Nonfamily households,"2,388",5.40%,2.60%,5.80%,4.20%,21.20%,31.50%,16.30%,7.90%,2.20%,2.90%,"51,746","66,581",,(X),(X),20.60%
"Monterey County, California",    Households,"128,003",3.20%,2.40%,6.90%,7.60%,11.10%,17.50%,14.70%,17.10%,8.30%,11.10%,"76,943","104,485",,36.10%,(X),(X)
"Monterey County, California",    Families,"92,948",2.60%,1.70%,5.90%,6.90%,10.50%,17.30%,15.10%,17.90%,9.40%,12.70%,"83,052","111,804",,(X),35.30%,(X)
"Monterey County, California",    Married-couple families,"68,568",1.40%,0.60%,3.40%,5.40%,9.30%,15.70%,16.10%,20.50%,11.40%,16.20%,"96,688","128,729",,(X),(X),(X)
"Monterey County, California",    Nonfamily households,"35,055",7.30%,6.10%,11.40%,11.20%,12.80%,17.90%,11.80%,12.20%,4.60%,4.60%,"51,206","72,527",,(X),(X),34.00%
"Napa County, California",    Households,"48,484",3.30%,2.70%,5.20%,6.10%,9.60%,14.40%,11.90%,18.60%,11.80%,16.40%,"92,219","129,566",,36.40%,(X),(X)
"Napa County, California",    Families,"33,181",1.80%,1.10%,2.80%,4.70%,8.50%,13.60%,12.60%,21.60%,13.80%,19.60%,"107,995","148,192",,(X),37.80%,(X)
"Napa County, California",    Married-couple families,"25,815",0.90%,1.20%,1.70%,2.90%,6.00%,12.80%,12.10%,23.10%,15.50%,23.70%,"122,784","165,482",,(X),(X),(X)
"Napa County, California",    Nonfamily households,"15,303",7.10%,6.10%,11.50%,10.80%,11.60%,15.80%,11.10%,11.90%,6.90%,7.20%,"53,566","81,991",,(X),(X),32.00%
"Nevada County, California",    Households,"40,917",4.20%,4.00%,8.30%,8.50%,12.00%,16.50%,13.10%,16.00%,7.60%,9.80%,"68,333","96,245",,31.80%,(X),(X)
"Nevada County, California",    Families,"26,377",2.10%,1.60%,4.50%,6.40%,9.60%,17.50%,14.90%,21.10%,9.50%,12.70%,"88,666","114,645",,(X),31.80%,(X)
"Nevada County, California",    Married-couple families,"21,010",1.30%,1.10%,2.70%,4.20%,9.50%,16.80%,15.80%,22.70%,11.10%,14.80%,"97,484",N,,(X),(X),(X)
"Nevada County, California",    Nonfamily households,"14,540",9.30%,8.70%,15.90%,13.00%,15.90%,15.40%,7.70%,7.10%,3.40%,3.60%,"37,794","58,051",,(X),(X),30.40%
"Orange County, California",    Households,"1,040,001",4.10%,2.70%,5.10%,5.80%,8.30%,14.10%,12.50%,19.40%,11.30%,16.70%,"94,441","127,056",,40.10%,(X),(X)
"Orange County, California",    Families,"742,140",2.50%,1.60%,4.10%,5.30%,7.90%,13.20%,12.30%,20.40%,13.10%,19.80%,"106,451","140,765",,(X),41.10%,(X)
"Orange County, California",    Married-couple families,"566,920",1.30%,1.10%,2.90%,4.10%,6.60%,11.80%,11.60%,21.40%,15.00%,24.10%,"123,356","158,215",,(X),(X),(X)
"Orange County, California",    Nonfamily households,"297,861",9.00%,5.70%,8.70%,8.10%,10.30%,16.80%,12.70%,15.70%,6.00%,6.90%,"61,236","84,202",,(X),(X),35.30%
"Placer County, California",    Households,"145,714",3.70%,2.70%,5.60%,6.00%,8.10%,13.90%,13.20%,19.30%,12.00%,15.40%,"93,677","120,740",,30.10%,(X),(X)
"Placer County, California",    Families,"102,730",2.10%,1.60%,2.90%,4.10%,6.10%,12.50%,13.60%,22.20%,15.50%,19.40%,"114,216","140,074",,(X),30.20%,(X)
"Placer County, California",    Married-couple families,"84,452",1.30%,0.90%,2.10%,2.40%,5.00%,11.40%,13.30%,23.50%,17.20%,22.70%,"125,866","153,149",,(X),(X),(X)
"Placer County, California",    Nonfamily households,"42,984",8.10%,5.70%,12.60%,11.20%,13.50%,17.20%,12.10%,11.70%,3.30%,4.60%,"48,895","69,796",,(X),(X),28.50%
"Plumas County, California",    Households,"8,332",5.70%,6.10%,8.60%,9.00%,15.10%,16.10%,12.80%,15.70%,6.50%,4.30%,"57,233","76,142",,43.70%,(X),(X)
"Plumas County, California",    Families,"5,040",2.30%,3.00%,3.60%,7.90%,12.20%,18.10%,15.20%,20.60%,10.70%,6.30%,"78,137","96,040",,(X),42.00%,(X)
"Plumas County, California",    Married-couple families,"3,863",0.70%,1.00%,2.90%,7.50%,10.00%,18.60%,16.40%,22.30%,13.00%,7.70%,"90,511",N,,(X),(X),(X)
"Plumas County, California",    Nonfamily households,"3,292",12.70%,11.10%,14.70%,11.90%,18.70%,13.30%,9.20%,7.10%,1.10%,0.30%,"34,734","42,444",,(X),(X),46.30%
"Riverside County, California",    Households,"736,413",5.20%,3.60%,7.80%,7.90%,11.10%,17.00%,12.90%,17.60%,8.50%,8.40%,"70,732","93,563",,42.90%,(X),(X)
"Riverside County, California",    Families,"539,458",3.30%,1.90%,5.80%,6.90%,11.00%,17.40%,14.10%,19.80%,9.90%,9.90%,"81,271","103,621",,(X),44.00%,(X)
"Riverside County, California",    Married-couple families,"402,837",1.70%,1.10%,4.20%,5.30%,9.50%,17.10%,14.30%,22.30%,11.90%,12.50%,"93,593","116,695",,(X),(X),(X)
"Riverside County, California",    Nonfamily households,"196,955",12.00%,9.00%,14.80%,12.10%,12.50%,15.00%,8.70%,9.80%,3.30%,3.00%,"37,283","58,010",,(X),(X),37.00%
"Sacramento County, California",    Households,"547,519",4.80%,4.20%,7.20%,7.80%,11.20%,17.40%,13.20%,17.60%,8.40%,8.20%,"70,684","93,028",,33.00%,(X),(X)
"Sacramento County, California",    Families,"363,107",3.50%,2.40%,5.80%,7.00%,10.40%,16.70%,13.60%,19.90%,10.30%,10.40%,"82,041","104,603",,(X),34.30%,(X)
"Sacramento County, California",    Married-couple families,"252,042",1.70%,1.30%,3.90%,4.90%,8.50%,15.10%,14.10%,23.40%,13.20%,13.90%,"100,845","122,034",,(X),(X),(X)
"Sacramento County, California",    Nonfamily households,"184,412",8.60%,8.40%,10.70%,10.20%,13.00%,19.20%,11.60%,11.50%,3.80%,3.10%,"48,861","64,575",,(X),(X),28.40%
"San Benito County, California",    Households,"18,389",2.40%,2.20%,4.90%,5.70%,10.40%,18.00%,13.30%,21.40%,10.40%,11.20%,"85,808","108,229",,31.70%,(X),(X)
"San Benito County, California",    Families,"14,769",2.20%,1.00%,3.80%,6.20%,10.20%,16.10%,12.50%,23.40%,12.00%,12.60%,"96,564","115,226",,(X),33.10%,(X)
"San Benito County, California",    Married-couple families,"11,082",0.80%,0.70%,2.50%,3.60%,6.80%,14.50%,13.00%,27.60%,14.70%,15.80%,"112,682",N,,(X),(X),(X)
"San Benito County, California",    Nonfamily households,"3,620",5.90%,8.50%,11.10%,9.50%,13.30%,18.70%,15.30%,12.10%,1.80%,3.90%,"52,796","66,620",,(X),(X),22.30%
"San Bernardino County, California",    Households,"640,090",4.70%,4.20%,8.10%,8.50%,12.20%,18.30%,13.70%,16.30%,7.60%,6.30%,"65,761","85,327",,39.30%,(X),(X)
"San Bernardino County, California",    Families,"489,851",3.70%,2.70%,6.90%,7.80%,12.20%,18.50%,14.50%,17.90%,8.50%,7.30%,"72,465","91,675",,(X),40.30%,(X)
"San Bernardino County, California",    Married-couple families,"333,154",1.50%,1.40%,4.40%,6.10%,10.60%,18.00%,15.70%,21.70%,10.90%,9.70%,"86,911","106,758",,(X),(X),(X)
"San Bernardino County, California",    Nonfamily households,"150,239",10.90%,10.10%,13.60%,11.40%,13.60%,17.10%,9.40%,9.00%,2.60%,2.20%,"38,919","55,236",,(X),(X),32.00%
"San Diego County, California",    Households,"1,130,703",4.10%,3.20%,6.20%,6.80%,9.70%,15.80%,12.70%,18.40%,10.10%,12.90%,"82,426","111,241",,36.60%,(X),(X)
"San Diego County, California",    Families,"759,418",2.60%,1.60%,4.70%,6.10%,9.10%,15.30%,12.90%,20.10%,12.00%,15.80%,"95,623","125,286",,(X),37.10%,(X)
"San Diego County, California",    Married-couple families,"570,689",1.30%,0.80%,3.10%,4.50%,7.40%,13.60%,12.90%,22.20%,14.40%,19.80%,"112,825","142,966",,(X),(X),(X)
"San Diego County, California",    Nonfamily households,"371,285",8.20%,6.70%,10.00%,9.20%,11.50%,17.50%,11.90%,14.00%,5.40%,5.50%,"55,183","75,908",,(X),(X),33.60%
"San Francisco County, California",    Households,"362,141",4.60%,4.80%,5.40%,4.60%,5.90%,9.80%,8.70%,15.20%,12.00%,29.00%,"119,136","167,663",,34.70%,(X),(X)
"San Francisco County, California",    Families,"170,665",2.30%,1.60%,4.60%,4.30%,6.00%,9.60%,9.10%,16.00%,12.20%,34.40%,"138,207","196,384",,(X),38.00%,(X)
"San Francisco County, California",    Married-couple families,"129,435",1.10%,1.00%,3.90%,3.10%,4.30%,8.00%,8.30%,15.70%,13.30%,41.20%,"166,166","225,237",,(X),(X),(X)
"San Francisco County, California",    Nonfamily households,"191,476",7.00%,7.80%,6.30%,5.10%,6.10%,10.30%,8.60%,14.40%,11.70%,22.90%,"96,421","136,839",,(X),(X),30.90%
"San Joaquin County, California",    Households,"231,092",5.00%,3.70%,8.00%,8.40%,11.00%,17.80%,13.00%,17.00%,8.40%,7.70%,"68,628","90,974",,38.60%,(X),(X)
"San Joaquin County, California",    Families,"172,583",3.70%,2.30%,6.30%,7.60%,10.80%,18.10%,13.60%,19.00%,9.70%,8.90%,"76,536","99,905",,(X),39.00%,(X)
"San Joaquin County, California",    Married-couple families,"120,149",1.50%,1.10%,4.00%,5.80%,9.20%,16.80%,15.00%,22.40%,12.60%,11.60%,"94,397","116,844",,(X),(X),(X)
"San Joaquin County, California",    Nonfamily households,"58,509",11.60%,8.90%,14.60%,11.10%,12.70%,16.30%,10.00%,9.00%,2.90%,2.80%,"39,165","55,625",,(X),(X),34.10%
"San Luis Obispo County, California",    Households,"106,244",4.70%,3.50%,6.60%,7.00%,10.10%,16.40%,13.30%,19.30%,8.90%,10.20%,"77,948","100,044",,36.40%,(X),(X)
"San Luis Obispo County, California",    Families,"67,187",2.70%,1.40%,3.00%,5.10%,8.90%,14.90%,15.50%,23.30%,11.90%,13.30%,"97,590","118,571",,(X),36.40%,(X)
"San Luis Obispo County, California",    Married-couple families,"53,603",1.40%,0.80%,1.90%,3.60%,7.20%,13.90%,15.60%,25.80%,13.80%,16.00%,"109,293","130,825",,(X),(X),(X)
"San Luis Obispo County, California",    Nonfamily households,"39,057",9.00%,7.50%,13.80%,11.20%,12.70%,18.50%,9.70%,11.20%,2.90%,3.60%,"44,316","62,176",,(X),(X),34.50%
"San Mateo County, California",    Households,"263,351",2.60%,2.10%,4.00%,4.00%,6.00%,10.40%,10.40%,17.30%,13.10%,30.10%,"128,091","182,158",,34.00%,(X),(X)
"San Mateo County, California",    Families,"184,019",1.40%,1.00%,2.60%,3.40%,4.90%,9.90%,9.50%,17.70%,13.80%,35.70%,"148,138","205,371",,(X),35.20%,(X)
"San Mateo County, California",    Married-couple families,"145,522",0.90%,0.50%,1.80%,2.30%,3.90%,8.20%,8.50%,17.00%,14.80%,42.10%,"172,384","230,991",,(X),(X),(X)
"San Mateo County, California",    Nonfamily households,"79,332",5.70%,5.20%,7.60%,6.30%,8.80%,12.90%,11.90%,16.70%,10.40%,14.50%,"81,478","117,641",,(X),(X),28.50%
"Santa Barbara County, California",    Households,"148,309",4.80%,3.20%,5.80%,6.10%,11.60%,16.30%,12.80%,17.40%,8.70%,13.20%,"78,925","111,731",,36.80%,(X),(X)
"Santa Barbara County, California",    Families,"97,397",2.30%,1.50%,4.70%,6.20%,11.20%,16.40%,13.00%,19.10%,10.00%,15.60%,"89,549","124,254",,(X),35.70%,(X)
"Santa Barbara County, California",    Married-couple families,"72,334",1.00%,0.60%,2.50%,4.10%,9.70%,15.60%,13.30%,21.40%,12.00%,19.80%,"106,434","143,347",,(X),(X),(X)
"Santa Barbara County, California",    Nonfamily households,"50,912",10.70%,6.70%,10.20%,8.10%,12.00%,16.40%,10.90%,12.50%,5.20%,7.20%,"53,399","79,126",,(X),(X),35.30%
"Santa Clara County, California",    Households,"635,314",2.80%,2.30%,4.00%,4.00%,6.00%,10.10%,9.40%,17.50%,13.50%,30.30%,"130,890","174,331",,31.90%,(X),(X)
"Santa Clara County, California",    Families,"454,149",1.70%,1.10%,2.90%,3.20%,5.50%,9.40%,9.20%,17.60%,14.50%,34.90%,"148,065","193,784",,(X),32.50%,(X)
"Santa Clara County, California",    Married-couple families,"360,029",0.90%,0.70%,2.30%,2.10%,4.00%,7.60%,8.00%,17.40%,15.80%,41.30%,"169,835","217,896",,(X),(X),(X)
"Santa Clara County, California",    Nonfamily households,"181,165",6.50%,5.60%,7.30%,6.70%,8.20%,12.30%,10.10%,16.90%,10.10%,16.30%,"82,185","116,017",,(X),(X),28.10%
"Santa Cruz County, California",    Households,"96,275",4.40%,3.60%,6.30%,5.50%,8.80%,12.80%,12.90%,16.90%,12.10%,16.80%,"89,986","123,689",,35.60%,(X),(X)
"Santa Cruz County, California",    Families,"60,870",1.90%,1.80%,4.50%,3.80%,7.40%,12.30%,13.50%,19.40%,14.60%,20.70%,"109,931","142,878",,(X),35.40%,(X)
"Santa Cruz County, California",    Married-couple families,"46,297",1.00%,0.70%,2.70%,2.80%,6.00%,10.90%,13.10%,21.10%,16.80%,24.80%,"129,683","160,860",,(X),(X),(X)
"Santa Cruz County, California",    Nonfamily households,"35,405",8.90%,7.00%,10.80%,8.70%,11.50%,15.00%,11.20%,12.00%,7.30%,7.60%,"54,031","82,421",,(X),(X),32.80%
"Shasta County, California",    Households,"70,845",5.50%,6.40%,9.60%,9.50%,13.50%,17.60%,13.50%,13.30%,6.00%,5.20%,"57,139","77,167",,37.30%,(X),(X)
"Shasta County, California",    Families,"46,938",3.70%,2.30%,7.10%,8.40%,13.10%,19.10%,15.90%,15.70%,7.80%,6.80%,"69,052","90,393",,(X),37.60%,(X)
"Shasta County, California",    Married-couple families,"34,792",1.60%,1.30%,4.30%,7.50%,12.10%,18.30%,18.00%,18.40%,9.80%,8.70%,"80,832","103,592",,(X),(X),(X)
"Shasta County, California",    Nonfamily households,"23,907",10.80%,14.70%,16.00%,12.30%,14.90%,13.20%,7.90%,7.10%,1.80%,1.30%,"32,110","45,887",,(X),(X),34.50%
"Sierra County, California",    Households,"1,250",5.10%,7.40%,9.00%,12.20%,12.00%,18.20%,13.70%,11.10%,9.20%,2.10%,"52,103","72,924",,50.20%,(X),(X)
"Sierra County, California",    Families,826,0.00%,0.50%,4.80%,9.30%,11.60%,27.20%,14.40%,15.50%,13.90%,2.70%,"70,238","89,189",,(X),54.80%,(X)
"Sierra County, California",    Married-couple families,644,0.00%,0.00%,1.90%,11.30%,9.30%,25.50%,13.20%,17.50%,17.90%,3.40%,"77,500",N,,(X),(X),(X)
"Sierra County, California",    Nonfamily households,424,15.10%,21.00%,17.00%,17.90%,16.00%,6.80%,2.60%,2.60%,0.00%,0.90%,"22,679","36,882",,(X),(X),41.30%
"Siskiyou County, California",    Households,"19,195",7.20%,6.30%,13.10%,10.30%,15.80%,18.90%,10.20%,12.30%,3.70%,2.30%,"47,403","65,853",,38.10%,(X),(X)
"Siskiyou County, California",    Families,"11,400",3.90%,3.10%,8.60%,10.20%,16.20%,21.30%,12.20%,17.40%,4.30%,2.80%,"57,268","76,542",,(X),37.80%,(X)
"Siskiyou County, California",    Married-couple families,"8,664",2.00%,2.00%,5.20%,8.40%,15.40%,22.50%,14.40%,21.30%,5.20%,3.50%,"68,302","87,209",,(X),(X),(X)
"Siskiyou County, California",    Nonfamily households,"7,795",13.20%,12.30%,20.10%,10.40%,14.30%,14.80%,6.40%,5.10%,1.90%,1.50%,"28,822","47,473",,(X),(X),37.00%
"Solano County, California",    Households,"151,191",3.60%,2.50%,5.10%,6.10%,10.00%,16.50%,14.80%,20.30%,10.90%,10.20%,"84,638","104,791",,34.50%,(X),(X)
"Solano County, California",    Families,"109,255",2.40%,1.60%,3.90%,5.10%,9.50%,15.10%,15.30%,22.30%,12.80%,12.10%,"95,438","115,144",,(X),35.40%,(X)
"Solano County, California",    Married-couple families,"78,477",1.20%,0.70%,2.20%,3.70%,7.10%,13.80%,15.30%,24.80%,15.70%,15.30%,"108,842","130,771",,(X),(X),(X)
"Solano County, California",    Nonfamily households,"41,936",7.60%,5.80%,9.00%,9.50%,14.00%,20.10%,13.30%,13.00%,4.60%,3.10%,"54,154","67,742",,(X),(X),30.00%
"Sonoma County, California",    Households,"188,958",3.70%,2.90%,5.70%,6.40%,9.30%,15.50%,14.10%,19.30%,10.90%,12.30%,"86,173","113,067",,33.70%,(X),(X)
"Sonoma County, California",    Families,"120,232",2.20%,1.10%,3.40%,4.80%,7.40%,14.70%,15.10%,22.70%,13.20%,15.30%,"102,411","129,993",,(X),34.10%,(X)
"Sonoma County, California",    Married-couple families,"91,935",1.30%,0.60%,1.90%,3.50%,5.90%,12.90%,14.80%,25.30%,15.20%,18.50%,"116,935","145,161",,(X),(X),(X)
"Sonoma County, California",    Nonfamily households,"68,726",7.30%,6.40%,10.50%,9.80%,13.00%,17.80%,11.80%,12.30%,5.40%,5.60%,"53,419","76,700",,(X),(X),31.00%
"Stanislaus County, California",    Households,"174,826",4.30%,4.60%,8.60%,9.10%,13.20%,18.60%,13.30%,16.00%,6.60%,5.80%,"62,873","82,369",,38.70%,(X),(X)
"Stanislaus County, California",    Families,"130,057",3.60%,2.10%,6.90%,9.00%,13.40%,18.60%,14.10%,17.80%,7.60%,7.00%,"69,654","89,960",,(X),39.20%,(X)
"Stanislaus County, California",    Married-couple families,"91,184",1.60%,1.20%,4.50%,7.10%,11.90%,18.20%,15.30%,21.10%,9.80%,9.30%,"84,059","104,018",,(X),(X),(X)
"Stanislaus County, California",    Nonfamily households,"44,769",9.10%,12.30%,15.20%,10.90%,13.70%,16.60%,9.00%,9.00%,2.20%,1.90%,"37,346","52,620",,(X),(X),34.80%
"Sutter County, California",    Households,"32,586",4.80%,4.20%,7.50%,9.10%,13.60%,18.20%,13.60%,16.40%,6.10%,6.50%,"63,502","86,703",,34.20%,(X),(X)
"Sutter County, California",    Families,"23,728",4.00%,2.40%,5.30%,7.60%,12.30%,19.90%,14.00%,19.30%,7.40%,7.80%,"72,193","96,883",,(X),33.50%,(X)
"Sutter County, California",    Married-couple families,"17,010",1.20%,0.90%,4.30%,5.60%,9.80%,20.70%,15.40%,22.60%,9.20%,10.20%,"87,058","111,881",,(X),(X),(X)
"Sutter County, California",    Nonfamily households,"8,858",8.70%,9.70%,14.40%,13.00%,18.90%,14.40%,9.70%,6.60%,2.30%,2.50%,"38,848","53,145",,(X),(X),32.50%
"Tehama County, California",    Households,"24,661",6.10%,7.40%,12.60%,10.90%,14.20%,16.50%,12.80%,10.90%,4.40%,4.20%,"48,895","74,237",,33.60%,(X),(X)
"Tehama County, California",    Families,"16,236",3.90%,3.40%,10.20%,9.40%,14.00%,18.80%,14.80%,14.20%,5.50%,5.80%,"63,084","90,529",,(X),32.40%,(X)
"Tehama County, California",    Married-couple families,"11,582",2.40%,1.80%,5.60%,9.10%,13.50%,18.30%,18.40%,16.20%,7.10%,7.50%,"73,777","106,497",,(X),(X),(X)
"Tehama County, California",    Nonfamily households,"8,425",13.10%,15.10%,19.10%,12.80%,14.00%,13.20%,5.90%,3.60%,2.50%,0.80%,"26,410","39,195",,(X),(X),32.30%
"Trinity County, California",    Households,"5,896",10.70%,7.40%,14.30%,11.00%,16.30%,17.30%,7.90%,9.60%,4.20%,1.30%,"41,780","56,776",,38.40%,(X),(X)
"Trinity County, California",    Families,"3,306",9.80%,3.30%,9.70%,7.50%,18.00%,18.00%,10.20%,14.40%,6.90%,2.10%,"51,109","71,539",,(X),42.80%,(X)
"Trinity County, California",    Married-couple families,"2,374",5.30%,3.00%,3.70%,9.50%,17.70%,20.10%,10.20%,19.80%,8.10%,2.50%,"60,417",N,,(X),(X),(X)
"Trinity County, California",    Nonfamily households,"2,590",13.40%,12.50%,20.10%,16.10%,14.50%,14.30%,4.70%,3.40%,1.00%,0.20%,"27,889","35,448",,(X),(X),32.60%
"Tulare County, California",    Households,"139,044",6.20%,5.40%,11.20%,10.40%,14.20%,17.70%,12.80%,12.90%,5.10%,4.10%,"52,534","72,092",,46.00%,(X),(X)
"Tulare County, California",    Families,"108,328",5.80%,4.40%,10.00%,10.20%,15.10%,17.30%,12.90%,14.10%,5.60%,4.70%,"55,395","76,076",,(X),47.00%,(X)
"Tulare County, California",    Married-couple families,"73,140",2.50%,2.70%,7.50%,9.50%,12.50%,18.90%,14.80%,17.40%,7.50%,6.80%,"69,321","90,465",,(X),(X),(X)
"Tulare County, California",    Nonfamily households,"30,716",12.10%,10.50%,17.90%,11.90%,12.70%,16.10%,8.90%,6.40%,2.10%,1.30%,"33,209","48,552",,(X),(X),37.90%
"Tuolumne County, California",    Households,"22,937",4.60%,7.40%,8.00%,9.20%,12.00%,17.00%,13.00%,16.80%,5.80%,6.10%,"60,509","83,401",,36.40%,(X),(X)
"Tuolumne County, California",    Families,"13,464",2.70%,2.50%,3.80%,7.70%,11.50%,17.50%,15.30%,21.90%,9.10%,7.90%,"80,685","98,224",,(X),39.90%,(X)
"Tuolumne County, California",    Married-couple families,"10,500",1.40%,2.10%,2.30%,5.80%,11.20%,17.90%,15.90%,24.70%,9.80%,8.80%,"90,409",N,,(X),(X),(X)
"Tuolumne County, California",    Nonfamily households,"9,473",8.20%,14.60%,15.00%,11.80%,11.40%,17.60%,8.30%,9.40%,0.40%,3.40%,"35,361","59,725",,(X),(X),29.20%
"Ventura County, California",    Households,"271,639",3.30%,2.50%,5.40%,6.20%,9.50%,14.40%,14.10%,19.30%,11.10%,14.10%,"89,295","117,576",,39.70%,(X),(X)
"Ventura County, California",    Families,"196,312",2.20%,1.30%,3.80%,5.50%,9.00%,13.40%,14.20%,20.80%,13.00%,16.80%,"101,160","130,657",,(X),39.00%,(X)
"Ventura County, California",    Married-couple families,"149,180",0.90%,0.70%,2.20%,3.90%,7.00%,12.20%,14.40%,22.90%,14.90%,20.90%,"117,158","147,844",,(X),(X),(X)
"Ventura County, California",    Nonfamily households,"75,327",8.00%,6.30%,10.80%,9.50%,12.10%,15.80%,13.40%,13.90%,5.10%,5.10%,"54,273","74,474",,(X),(X),37.70%
"Yolo County, California",    Households,"74,614",7.30%,4.70%,7.10%,6.30%,9.20%,16.10%,11.60%,16.20%,10.20%,11.20%,"73,746","103,461",,32.90%,(X),(X)
"Yolo County, California",    Families,"47,949",3.40%,2.10%,5.40%,4.80%,8.10%,15.50%,12.80%,19.10%,13.90%,14.90%,"95,373","124,881",,(X),31.70%,(X)
"Yolo County, California",    Married-couple families,"36,108",1.60%,0.70%,3.40%,3.30%,6.90%,15.10%,13.40%,20.80%,16.00%,18.70%,"110,547","142,325",,(X),(X),(X)
"Yolo County, California",    Nonfamily households,"26,665",15.40%,10.10%,11.50%,9.20%,10.90%,17.20%,9.30%,9.80%,3.50%,3.10%,"40,705","59,084",,(X),(X),33.80%
"Yuba County, California",    Households,"26,434",5.70%,5.80%,9.00%,9.60%,13.30%,17.20%,12.70%,16.90%,6.70%,3.10%,"59,424","73,030",,35.40%,(X),(X)
