County_Name,Civilian employed population 16 years and over,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,PERCENT ALLOCATED,PERCENT IMPUTED!!Industry
"Cook County, Illinois","2,521,026","5,316","119,545","249,971","74,609","256,086","171,896","54,240","207,092","360,171","564,363","247,468","122,641","87,628",,11.40%
"DeKalb County, Illinois","50,713","1,071","2,662","6,562","1,797","7,641","2,517",682,"1,475","3,387","13,491","5,967","1,536","1,925",,9.10%
"DuPage County, Illinois","490,503","1,073","23,672","62,873","17,790","48,311","29,515","12,823","42,754","73,544","101,970","43,816","20,952","11,410",,13.70%
"Kane County, Illinois","265,968","2,343","18,361","42,970","10,126","27,595","14,526","6,064","16,830","33,220","53,522","23,156","11,876","5,379",,10.80%
"Kankakee County, Illinois","48,556",319,"2,909","7,479",950,"5,552","2,796",502,"2,630","3,564","13,442","4,030","2,436","1,947",,8.40%
"Kendall County, Illinois",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,8.20%
"Lake County, Illinois","351,135",757,"17,537","58,982","17,865","42,351","12,230","4,475","26,533","51,400","63,162","29,578","15,290","10,975",,10.50%
"LaSalle County, Illinois","52,267","2,532","2,999","6,668","1,263","7,221","4,229",345,"2,101","3,078","12,118","5,066","2,418","2,229",,9.40%
"McHenry County, Illinois","163,454","1,113","11,661","25,028","6,772","20,279","7,659","3,681","12,394","17,433","30,525","15,375","7,531","4,003",,11.00%
"McLean County, Illinois","91,757","1,010","3,287","5,747","1,808","11,839","3,084","1,089","18,944","8,472","20,511","10,377","2,986","2,603",,12.70%
"Macon County, Illinois","47,989","1,278","3,137","7,726","1,142","5,549","2,864",776,"3,069","3,481","10,085","4,998","2,135","1,749",,14.70%
"Madison County, Illinois","123,979","1,191","6,906","15,372","2,851","14,760","8,818","2,179","7,253","9,611","28,674","13,943","6,800","5,621",,9.70%
"Peoria County, Illinois","85,449","1,338","4,412","14,295","2,241","9,338","3,669","1,325","4,054","8,042","21,784","6,931","4,417","3,603",,12.30%
"Rock Island County, Illinois","69,021",466,"3,856","13,651","1,639","8,845","4,486","1,350","2,687","5,025","15,084","5,929","2,992","3,011",,8.70%
"St. Clair County, Illinois","118,124",737,"6,882","12,250","3,492","12,360","6,564","1,484","7,877","13,450","27,226","11,980","5,683","8,139",,17.50%
"Sangamon County, Illinois","93,156","1,279","4,631","5,125","2,066","8,819","3,816","1,647","8,926","8,568","23,711","9,244","4,142","11,182",,11.90%
"Tazewell County, Illinois","65,024","1,017","3,361","10,388","1,257","8,907","3,265",777,"3,327","4,434","15,512","6,584","3,321","2,874",,11.10%
"Vermilion County, Illinois","31,947",658,"1,806","5,120","1,351","3,884","1,922",569,"1,574","2,258","7,828","2,431","1,702",844,,7.50%
"Will County, Illinois","342,392","1,859","22,514","38,345","11,467","45,034","25,321","6,992","23,851","39,149","74,314","29,611","12,403","11,532",,11.30%
"Williamson County, Illinois","27,538",775,"2,069","2,023",641,"3,330","1,392",665,"1,446","1,336","8,487","2,556","1,282","1,536",,11.70%
"Winnebago County, Illinois","131,245",656,"6,661","27,816","3,188","16,032","5,363","1,770","5,709","11,442","29,660","12,460","6,254","4,234",,8.50%
"Allen County, Indiana","175,857","1,050","10,069","33,499","5,443","19,536","6,508","3,531","13,603","13,836","40,518","16,005","8,851","3,408",,9.50%
"Bartholomew County, Indiana",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,8.50%
"Clark County, Indiana","56,842",278,"3,011","9,025","1,071","6,845","5,171",910,"4,417","3,851","10,781","6,234","3,285","1,963",,8.60%
"Delaware County, Indiana","52,858",497,"2,569","5,817","1,273","6,252","2,013",420,"1,854","4,667","16,007","7,775","2,189","1,525",,8.90%
"Elkhart County, Indiana","92,706",772,"3,882","34,536","1,757","9,572","3,575",992,"3,159","5,283","15,459","6,200","5,242","2,277",,9.20%
"Floyd County, Indiana","38,075",73,"3,143","6,076",805,"5,551","1,892",219,"2,756","2,362","9,749","3,198","1,386",865,,7.40%
"Grant County, Indiana",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,8.20%
"Hamilton County, Indiana","165,516","1,461","9,291","18,840","5,570","17,277","5,306","3,456","18,418","23,704","37,047","13,206","7,396","4,544",,6.20%
"Hancock County, Indiana",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,9.80%
"Hendricks County, Indiana","85,188",329,"3,279","11,070","2,451","7,073","8,613","1,489","4,431","8,445","20,915","8,205","5,633","3,255",,10.20%
"Howard County, Indiana","35,488",456,"1,456","10,862",730,"3,653",824,610,"1,471","2,357","7,366","2,900","1,453","1,350",,10.50%
"Johnson County, Indiana","72,088",278,"4,688","14,076","1,461","7,714","3,622","1,092","4,092","6,297","15,967","5,544","3,618","3,639",,7.30%
"Kosciusko County, Indiana","37,974","1,356","1,810","14,122",328,"3,480",613,924,"1,546","1,831","7,827","2,233","1,364",540,,8.00%
"Lake County, Indiana","215,612",859,"14,660","34,692","4,575","27,724","14,025","2,305","10,503","18,909","49,449","21,469","9,575","6,867",,12.10%
"LaPorte County, Indiana","46,640",716,"2,472","10,646",894,"6,369","2,687",430,"1,708","3,152","9,806","4,017","2,232","1,511",,12.70%
"Madison County, Indiana","56,603",468,"3,084","7,093","1,401","6,699","3,528",848,"2,500","5,275","14,165","5,260","2,984","3,298",,9.60%
"Marion County, Indiana","452,244","1,081","25,223","47,581","15,590","59,706","30,415","9,862","27,504","53,145","92,764","49,664","22,954","16,755",,10.60%
"Monroe County, Indiana","71,532",243,"1,871","6,612","1,273","7,495","1,333","3,257","3,466","7,037","22,947","10,754","2,813","2,431",,10.90%
"Morgan County, Indiana","31,813",69,"2,821","5,737",631,"3,416","2,701",518,"1,853","2,880","5,474","2,640","1,834","1,239",,8.20%
"Porter County, Indiana","76,412",228,"4,815","13,947","1,523","8,669","4,797",687,"3,036","8,018","19,880","5,206","2,954","2,652",,10.00%
"St. Joseph County, Indiana","123,580",582,"5,278","23,380","3,462","13,942","3,615","3,273","5,761","10,661","35,210","10,000","4,947","3,469",,9.90%
"Tippecanoe County, Indiana","94,641",976,"4,826","17,145","2,112","11,217","2,698","1,435","4,084","6,023","30,673","8,883","2,978","1,591",,8.60%
"Vanderburgh County, Indiana","87,789",768,"5,084","14,095","3,046","10,895","4,056","2,297","4,893","8,416","18,131","9,640","4,020","2,448",,7.10%
"Vigo County, Indiana","46,484",343,"3,411","7,594",970,"5,823","1,712",440,"2,393","2,915","12,193","5,390","1,728","1,572",,16.60%
"Wayne County, Indiana",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,8.20%
"Black Hawk County, Iowa","69,138","1,121","2,900","13,047","1,832","9,122","2,618",977,"3,570","5,131","18,609","6,449","2,771",991,,11.60%
"Dallas County, Iowa","43,657",831,"2,189","3,857","1,543","4,808","1,997",562,"7,403","5,017","9,994","2,131","1,836","1,489",,15.40%
"Dubuque County, Iowa","50,502","1,049","2,562","8,575","2,003","6,553","2,397",947,"3,093","4,120","11,878","4,762","1,667",896,,16.00%
"Johnson County, Iowa","83,017",994,"3,839","6,252",709,"8,939","2,410","1,043","4,969","6,348","35,003","8,327","2,715","1,469",,9.60%
"Linn County, Iowa","117,437",873,"7,202","18,762","2,718","15,847","6,955","4,038","8,192","11,321","26,084","7,227","5,265","2,953",,9.00%
"Polk County, Iowa","248,032","3,146","17,282","22,384","5,767","27,193","10,429","4,924","35,833","25,663","55,244","21,592","9,969","8,606",,13.60%
"Pottawattamie County, Iowa","47,487","1,211","3,736","5,842","2,156","5,858","3,221",914,"3,288","3,567","10,315","3,542","2,277","1,560",,8.90%
"Scott County, Iowa","84,327",888,"6,102","15,410","2,345","9,078","3,950","1,446","5,417","6,541","18,302","9,457","2,778","2,613",,8.40%
"Story County, Iowa","50,910",645,"1,768","5,473",863,"5,241","1,148",794,"2,131","3,469","19,595","6,407","1,143","2,233",,9.40%
"Woodbury County, Iowa","52,168",968,"3,155","9,956","1,628","6,595","2,974",601,"3,467","3,259","9,510","6,480","1,887","1,688",,11.30%
"Butler County, Kansas",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,8.00%
"Douglas County, Kansas","63,871","1,037","3,057","3,684","1,508","8,126","1,791",972,"4,169","7,272","18,068","8,894","2,510","2,783",,10.00%
"Johnson County, Kansas","312,737","1,587","13,614","25,071","11,991","33,291","11,444","11,848","32,163","52,417","71,250","23,428","13,345","11,288",,9.00%
"Leavenworth County, Kansas","34,480",706,"3,290","1,968",653,"3,501","1,742",377,"2,215","2,755","9,820","2,125","1,655","3,673",,11.30%
"Riley County, Kansas",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,14.70%
"Sedgwick County, Kansas","243,672","2,337","16,695","45,520","5,830","31,538","9,168","5,080","11,216","21,186","54,868","22,850","11,183","6,201",,9.60%
"Shawnee County, Kansas","83,877",309,"5,184","7,652","1,115","9,306","4,486","1,589","7,344","6,735","23,041","6,667","4,245","6,204",,10.00%
"Wyandotte County, Kansas","75,726",270,"8,134","9,041","2,885","8,681","5,945",889,"3,513","8,422","13,252","6,704","4,370","3,620",,7.50%
"Boone County, Kentucky","65,245",250,"3,338","10,033","2,399","8,343","5,867","1,195","4,806","6,508","10,156","6,405","3,000","2,945",,9.20%
"Bullitt County, Kentucky","37,153",449,"1,476","6,198","1,532","5,504","4,118","1,250","2,525","2,516","6,611","1,779","1,939","1,256",,10.70%
"Campbell County, Kentucky","46,781",420,"1,876","5,684",975,"5,643","1,872",808,"4,693","4,340","12,822","4,161","2,208","1,279",,9.70%
"Christian County, Kentucky",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,10.60%
"Daviess County, Kentucky","45,644",955,"2,607","7,179",967,"5,238","2,361",618,"3,724","2,789","10,300","3,647","3,496","1,763",,8.30%
"Fayette County, Kentucky","162,221","2,821","7,937","14,908","3,224","20,467","3,748","3,213","7,130","19,449","46,100","18,338","8,870","6,016",,7.20%
"Hardin County, Kentucky","46,921",482,"2,373","5,826","1,114","6,708","3,184","1,048","2,162","4,219","9,318","4,230","2,293","3,964",,14.10%
"Jefferson County, Kentucky","375,008","2,106","18,551","43,154","11,616","40,907","27,424","6,656","29,539","35,670","91,354","37,918","18,775","11,338",,13.30%
"Kenton County, Kentucky","82,722",691,"3,590","8,134","3,164","8,606","6,861","1,444","6,895","9,920","18,164","9,552","1,991","3,710",,7.90%
"McCracken County, Kentucky",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,13.30%
"Madison County, Kentucky",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,8.40%
"Pike County, Kentucky",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,26.30%
"Warren County, Kentucky","56,640",673,"4,018","8,887","1,243","6,618","2,806","1,185","2,741","4,409","13,333","6,885","2,005","1,837",,7.90%
"Ascension Parish, Louisiana","56,472",569,"5,177","9,141","3,310","7,192","2,333","1,173","2,748","3,947","13,243","3,009","1,850","2,780",,11.10%
"Bossier Parish, Louisiana","54,876","1,840","4,290","3,672","1,197","6,628","2,561",859,"2,498","6,699","12,929","5,467","2,104","4,132",,19.40%
"Caddo Parish, Louisiana","104,081","3,904","5,697","6,573","3,465","12,224","5,703","1,946","6,274","7,447","27,502","12,223","5,577","5,546",,14.80%
"Calcasieu Parish, Louisiana","89,807","2,456","7,309","11,147","1,428","11,132","4,300",893,"3,912","5,115","22,765","11,664","4,347","3,339",,10.80%
"East Baton Rouge Parish, Louisiana","218,640","1,983","16,022","17,512","3,724","24,343","9,669","4,406","13,955","25,522","57,121","21,320","11,859","11,204",,16.90%
"Iberia Parish, Louisiana","31,138","4,675","2,044","2,912","1,288","3,818","1,031",242,"1,849","2,284","4,968","2,957","2,165",905,,6.10%
"Jefferson Parish, Louisiana","212,818","3,785","21,270","12,168","7,591","22,839","11,758","3,026","15,729","24,291","40,385","27,953","10,091","11,932",,12.00%
"Lafayette Parish, Louisiana","120,537","10,417","7,164","7,227","3,105","13,254","3,956","1,043","5,512","12,338","29,984","15,067","6,990","4,480",,12.20%
"Lafourche Parish, Louisiana","44,996","4,013","3,932","4,755","1,116","5,108","4,160",663,"1,785","3,315","9,101","3,102","3,006",940,,10.80%
"Livingston Parish, Louisiana","62,515","1,095","7,074","7,760","2,069","5,968","2,130","1,027","3,130","6,287","12,490","4,317","5,332","3,836",,10.20%
"Orleans Parish, Louisiana","184,601","1,492","9,653","7,924","3,145","18,145","9,413","3,580","8,886","23,893","46,367","32,456","9,759","9,888",,12.70%
"Ouachita Parish, Louisiana","63,887",936,"4,192","3,917","1,582","8,920","2,607","2,781","4,370","5,654","17,496","5,939","3,404","2,089",,9.10%
"Rapides Parish, Louisiana","54,977","1,361","2,866","3,937",564,"7,513","3,536",823,"2,482","3,789","16,904","5,212","2,626","3,364",,8.10%
"St. Landry Parish, Louisiana","29,969","2,649","2,961","1,642",831,"3,775","1,353",713,"1,597","1,877","7,710","1,954","2,052",855,,8.40%
"St. Tammany Parish, Louisiana","114,900","2,790","9,634","6,364","3,927","15,006","5,782","1,794","7,518","13,656","23,708","11,557","6,187","6,977",,7.80%
"Tangipahoa Parish, Louisiana",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,9.40%
"Terrebonne Parish, Louisiana","47,301","5,267","5,026","3,932","1,103","6,239","3,297",486,"2,519","3,290","9,009","3,670","1,594","1,869",,8.40%
"Androscoggin County, Maine","54,658",828,"3,569","5,873","1,533","7,060","2,408","1,128","4,096","5,021","15,228","3,858","2,063","1,993",,8.20%
"Aroostook County, Maine","29,939","1,912","1,681","3,076",377,"3,361","2,101",537,"1,293","1,323","8,925","2,230","1,483","1,640",,4.50%
"Cumberland County, Maine","156,642","1,909","9,251","11,972","4,390","18,749","5,443","4,117","13,568","18,582","42,830","13,829","8,285","3,717",,8.50%
"Kennebec County, Maine","57,796",970,"4,263","4,564","1,309","8,377","1,920",688,"2,536","4,057","16,729","4,106","2,612","5,665",,5.20%
"Penobscot County, Maine","68,454","1,226","4,177","4,068",851,"11,344","3,297","1,031","3,175","4,411","23,825","5,335","3,096","2,618",,7.30%
"York County, Maine","105,884","1,544","8,682","13,213","2,039","12,860","2,879","2,504","7,716","8,338","26,765","11,699","3,746","3,899",,6.10%
"Allegany County, Maryland","28,427",322,"1,640","2,489",881,"3,220","1,850",610,"1,573","2,412","6,993","2,931","1,174","2,332",,5.80%
"Anne Arundel County, Maryland","288,276",483,"20,741","13,626","9,471","30,296","12,160","5,912","14,586","43,868","56,155","26,931","14,316","39,731",,14.50%
"Baltimore County, Maryland","418,209",924,"24,749","22,738","9,976","48,140","18,881","9,787","30,264","55,195","110,070","37,744","19,725","30,016",,11.70%
"Calvert County, Maryland","47,034",114,"4,836","1,988",765,"3,689","2,449",915,"2,363","5,079","9,292","4,282","2,050","9,212",,9.30%
"Carroll County, Maryland","86,245","1,034","7,027","5,930","2,506","8,317","3,635","2,540","6,002","10,120","19,254","5,901","4,871","9,108",,9.00%
"Cecil County, Maryland","50,609",648,"4,294","4,938",918,"6,733","3,149",960,"3,719","4,760","11,748","4,237","1,743","2,762",,7.60%
"Charles County, Maryland","79,406",536,"7,952","2,406","1,044","8,186","3,339","1,806","3,246","11,743","16,052","6,136","3,808","13,152",,21.70%
"Frederick County, Maryland","131,344","1,508","11,532","7,512","3,722","12,836","4,752","2,938","10,077","19,443","30,420","9,474","6,596","10,534",,8.70%
"Harford County, Maryland","125,798",577,"9,708","7,522","4,282","16,635","5,424","1,986","9,668","14,239","30,247","8,453","5,891","11,166",,11.30%
"Howard County, Maryland","167,540",288,"6,847","8,160","3,079","12,810","5,762","4,295","11,318","33,611","40,514","12,943","7,326","20,587",,11.40%
"Montgomery County, Maryland","555,886","1,102","32,205","16,643","6,549","43,844","16,046","14,325","34,517","125,133","118,328","50,278","36,551","60,365",,10.40%
"Prince George's County, Maryland","481,178",737,"39,190","8,099","5,951","43,690","29,603","9,060","22,169","76,522","107,093","46,487","28,882","63,695",,14.00%
"St. Mary's County, Maryland","55,428",786,"3,477","2,122",627,"5,025","3,041","1,539","2,378","8,883","8,754","4,374","2,669","11,753",,12.20%
"Washington County, Maryland","67,216",98,"5,632","6,373","1,577","8,272","5,053","1,315","3,605","7,021","13,125","5,598","2,642","6,905",,9.40%
"Wicomico County, Maryland","49,752",653,"3,527","5,038","1,025","6,486","2,889",418,"2,073","3,473","13,933","5,306","2,203","2,728",,8.50%
"Baltimore city, Maryland","270,992",272,"12,054","13,348","5,437","27,063","15,689","5,379","14,733","35,576","82,689","23,374","13,964","21,414",,16.60%
"Barnstable County, Massachusetts","104,949","1,470","9,439","4,019","1,804","16,724","3,945","1,414","6,609","12,992","21,877","11,447","7,702","5,507",,10.50%
"Berkshire County, Massachusetts","63,926",470,"4,632","5,108",975,"7,539","1,700","1,673","3,469","6,643","18,884","7,025","3,796","2,012",,10.40%
"Bristol County, Massachusetts","277,429","1,466","20,444","32,340","9,710","36,608","9,840","4,684","15,291","22,601","74,625","27,385","11,222","11,213",,11.60%
"Essex County, Massachusetts","397,040",766,"21,995","40,313","9,951","41,958","14,093","9,514","25,932","53,476","103,669","39,131","21,274","14,968",,10.70%
"Franklin County, Massachusetts","36,609",895,"1,850","4,222",943,"3,534","2,094",849,"1,977","3,294","11,603","2,316","1,293","1,739",,6.50%
"Hampden County, Massachusetts","219,197","1,486","9,393","24,986","6,481","28,541","10,811","4,176","17,102","16,976","63,604","18,485","7,778","9,378",,11.70%
"Hampshire County, Massachusetts","85,358",833,"1,974","4,675","1,795","9,798","2,941","1,825","4,163","6,179","37,429","7,534","3,198","3,014",,15.50%
"Middlesex County, Massachusetts","864,950","1,479","43,856","86,043","15,184","70,387","23,082","28,804","61,549","154,613","245,858","69,541","37,252","27,302",,12.20%
"Norfolk County, Massachusetts","370,381",598,"19,160","25,546","7,170","38,030","14,122","9,445","40,848","56,469","105,673","27,923","13,601","11,796",,12.40%
"Plymouth County, Massachusetts","256,734","1,155","16,947","18,583","7,664","31,949","14,409","5,039","21,834","30,460","61,991","24,625","11,623","10,455",,12.30%
"Suffolk County, Massachusetts","423,556",818,"17,209","19,087","8,014","38,493","17,839","9,923","33,927","66,971","128,588","47,551","18,644","16,492",,14.40%
"Worcester County, Massachusetts","407,572","1,780","21,859","51,742","10,245","49,774","14,331","7,326","26,091","43,403","114,039","35,158","17,877","13,947",,10.50%
"Allegan County, Michigan","53,267","1,518","4,468","15,141","1,316","6,198","1,779",487,"1,740","3,799","8,721","4,291","2,368","1,441",,9.50%
"Bay County, Michigan","47,249",430,"3,089","6,775","1,401","7,226","2,125",814,"2,128","3,201","11,915","4,599","2,519","1,027",,11.10%
"Berrien County, Michigan","70,514",676,"3,694","14,496","1,555","8,356","3,522","1,059","3,380","5,190","16,192","7,912","3,035","1,447",,9.70%
"Calhoun County, Michigan","56,014",698,"1,600","14,093",432,"6,171","3,354",606,"2,169","4,768","12,492","4,690","2,886","2,055",,8.80%
"Clinton County, Michigan","37,811","1,194","2,158","4,228",686,"4,032","1,062",301,"3,487","4,094","9,178","3,180","1,096","3,115",,5.90%
"Eaton County, Michigan","52,993",308,"2,871","8,293","1,210","5,191","1,962",885,"3,545","3,797","12,044","5,191","2,763","4,933",,8.70%
"Genesee County, Michigan","168,901",772,"9,461","27,953","3,952","22,772","7,254","1,902","8,820","14,197","41,510","16,005","9,200","5,103",,9.90%
"Grand Traverse County, Michigan","47,335",567,"2,112","5,332","1,438","6,085","1,182",686,"3,360","3,406","14,728","5,952","1,528",959,,14.10%
"Ingham County, Michigan","136,629",871,"4,403","13,157","2,642","15,213","5,173","2,185","9,744","13,024","41,359","14,019","6,340","8,499",,9.30%
"Isabella County, Michigan","33,796",721,"1,886","3,370",570,"3,037","1,022",201,"1,496","1,779","10,310","6,999","1,457",948,,9.40%
"Jackson County, Michigan","64,672",944,"3,583","13,699","1,589","7,258","3,600",422,"3,258","3,339","15,203","5,774","2,766","3,237",,6.30%
"Kalamazoo County, Michigan","130,471","1,027","4,798","21,167","2,661","13,842","3,517","1,459","7,953","12,220","38,297","14,646","4,872","4,012",,9.00%
"Kent County, Michigan","323,479","4,135","15,134","61,598","13,051","39,269","12,136","4,980","18,125","31,728","70,505","29,427","16,417","6,974",,7.80%
"Lapeer County, Michigan","38,609",733,"2,878","8,725",622,"4,690","1,609",392,"1,785","3,301","7,823","3,261","1,840",950,,10.40%
"Lenawee County, Michigan","41,947",771,"2,626","8,782",657,"4,709","1,451",490,"2,190","2,801","10,351","2,721","2,496","1,902",,11.70%
"Livingston County, Michigan","94,784",398,"6,328","16,719","3,651","11,065","3,243","1,421","5,891","10,369","20,998","8,371","3,986","2,344",,9.80%
"Macomb County, Michigan","415,063",995,"22,998","87,836","10,766","48,026","15,452","4,970","24,914","39,605","86,192","39,956","19,337","14,016",,9.30%
"Marquette County, Michigan","29,817","1,256","2,707","1,025",520,"4,190","1,106",565,"1,610","1,605","9,203","3,602","1,152","1,276",,11.40%
"Midland County, Michigan","38,497",251,"3,207","9,479",589,"4,295","1,411",282,"1,925","2,281","7,032","4,253","2,339","1,153",,6.90%
"Monroe County, Michigan","69,299","1,328","4,048","15,503","1,392","6,406","4,340",485,"2,197","5,697","16,748","6,086","3,166","1,903",,8.20%
"Muskegon County, Michigan","72,983",539,"4,118","19,560","1,487","8,715","1,676","1,055","1,746","5,141","15,659","7,363","3,338","2,586",,13.00%
"Oakland County, Michigan","626,676","1,645","27,037","113,156","16,915","61,867","18,462","13,009","45,262","88,446","142,585","57,367","24,303","16,622",,9.40%
"Ottawa County, Michigan","141,505","1,642","7,200","35,879","5,084","14,982","4,762","1,827","6,692","10,991","29,284","12,384","7,186","3,592",,9.50%
"Saginaw County, Michigan","82,058","1,111","4,028","12,379","1,825","11,181","3,762","1,710","2,710","6,713","21,733","8,203","3,328","3,375",,13.30%
"St. Clair County, Michigan","71,745",608,"5,551","15,618","1,344","7,681","4,469",902,"2,721","3,660","15,044","6,910","3,427","3,810",,7.30%
"Shiawassee County, Michigan","31,451",437,"2,110","6,367","1,068","4,136","1,683",358,"1,187","1,850","6,931","1,856","1,192","2,276",,6.60%
"Van Buren County, Michigan","33,089","1,826","2,515","5,811",792,"4,222","1,643",150,"1,604","2,665","7,176","2,372","1,118","1,195",,8.00%
"Washtenaw County, Michigan","181,977","1,072","6,340","18,416","2,807","17,851","5,569","3,926","6,436","21,370","67,910","18,718","7,214","4,348",,11.80%
"Wayne County, Michigan","712,421","2,340","28,536","121,790","17,430","81,992","44,365","11,232","41,394","77,506","157,889","72,599","32,771","22,577",,12.60%
"Anoka County, Minnesota","187,249","1,132","13,011","28,397","4,796","19,391","10,256","3,353","15,806","17,242","44,684","13,453","9,324","6,404",,9.40%
"Blue Earth County, Minnesota","38,228",934,"1,846","5,176",908,"5,366","1,375",689,"1,318","3,007","11,462","3,687","1,728",732,,9.10%
"Carver County, Minnesota","55,840",767,"3,299","8,663","2,277","4,728","2,050","1,266","5,295","7,855","11,299","4,857","2,321","1,163",,6.90%
"Dakota County, Minnesota","228,936","1,534","11,255","26,995","7,508","24,977","15,750","5,114","23,124","27,048","45,348","21,582","9,584","9,117",,7.60%
"Hennepin County, Minnesota","681,944","2,656","28,112","78,494","20,505","75,309","24,180","13,336","67,544","101,632","162,184","62,521","30,214","15,257",,10.80%
"Olmsted County, Minnesota","79,896","1,762","3,184","7,134","1,316","8,129","2,459","1,524","2,685","5,968","35,455","5,110","3,347","1,823",,9.10%
"Ramsey County, Minnesota","278,389",937,"10,581","34,371","8,313","29,059","10,363","5,781","21,435","31,363","77,856","24,845","12,937","10,548",,9.30%
"Rice County, Minnesota","35,487",775,"2,850","5,315",916,"3,414",923,417,"1,491","2,489","11,971","2,247","1,949",730,,10.40%
"St. Louis County, Minnesota","99,896","2,774","5,412","7,412","2,541","12,293","5,895",935,"6,042","6,278","30,231","12,469","4,351","3,263",,8.80%
"Scott County, Minnesota","77,608",846,"6,342","11,481","3,031","8,594","4,077","1,291","6,292","7,184","15,384","7,563","3,938","1,585",,8.80%
"Sherburne County, Minnesota","47,322",725,"4,595","6,759","1,578","4,989","2,868",339,"2,519","4,372","11,180","4,042","1,684","1,672",,11.50%
"Stearns County, Minnesota","85,722","2,506","6,691","12,074","2,145","11,045","3,596","1,304","4,004","6,873","22,866","6,666","3,942","2,010",,12.10%
"Washington County, Minnesota","133,637",557,"7,646","18,688","3,864","14,932","5,734","2,577","11,104","12,691","33,326","9,920","5,562","7,036",,8.70%
"Wright County, Minnesota","70,261","1,601","7,653","11,069","2,692","6,893","3,472","1,472","6,557","6,746","12,992","3,327","3,568","2,219",,12.70%
"DeSoto County, Mississippi","83,395",696,"5,041","7,622","4,451","9,696","10,420",794,"5,946","7,518","15,926","8,973","3,420","2,892",,11.10%
"Forrest County, Mississippi",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,8.80%
"Harrison County, Mississippi","80,369",868,"6,755","5,554","2,285","10,541","4,192","1,093","3,144","5,986","16,124","12,973","3,915","6,939",,9.10%
"Hinds County, Mississippi","102,646",607,"5,396","7,690","1,979","10,658","6,406","2,503","3,673","10,625","29,041","10,835","4,835","8,398",,8.90%
"Jackson County, Mississippi","57,951",430,"5,008","9,226",679,"7,137","2,758",804,"2,081","3,992","12,044","9,501","2,561","1,730",,6.50%
"Jones County, Mississippi",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,5.70%
"Lauderdale County, Mississippi",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,8.40%
"Lee County, Mississippi","38,955",707,"1,396","7,721",566,"4,385","2,123",341,"2,450","2,228","8,823","4,343","1,973","1,899",,9.80%
"Madison County, Mississippi",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,7.90%
"Rankin County, Mississippi","72,505",767,"5,599","8,245","1,224","7,029","2,908",576,"4,630","7,304","17,687","7,549","5,003","3,984",,7.00%
"Boone County, Missouri","90,460",752,"3,815","5,842","1,735","11,263","3,115","2,032","7,976","7,807","31,814","8,330","2,691","3,288",,10.70%
"Buchanan County, Missouri","43,442",383,"2,789","7,415",937,"4,356","2,279",749,"2,294","4,230","10,648","4,602","1,260","1,500",,8.90%
"Cape Girardeau County, Missouri","38,261",391,"1,838","5,053","1,095","5,118","1,220",218,"1,478","2,720","11,932","3,977","1,611","1,610",,16.10%
"Cass County, Missouri","50,662",624,"4,189","5,629","1,326","6,012","3,062","1,260","3,261","5,109","10,043","4,578","2,546","3,023",,7.60%
"Christian County, Missouri","36,645",609,"3,132","2,306","1,092","4,636","2,829",418,"2,036","2,963","9,240","3,724","1,977","1,683",,9.20%
"Clay County, Missouri","122,645",821,"4,784","15,661","4,583","14,085","8,893","2,598","9,109","14,096","26,017","10,997","5,486","5,515",,11.40%
"Cole County, Missouri","36,142",589,"2,422","3,296",525,"5,198","1,628",528,"1,752","3,169","7,429","1,870","1,430","6,306",,11.70%
"Franklin County, Missouri","49,315",959,"5,012","11,382","1,036","5,841","2,362",979,"2,008","3,375","9,235","3,594","2,579",953,,8.00%
"Greene County, Missouri","138,696",896,"8,023","12,685","3,542","17,116","6,115","3,201","9,558","14,523","37,646","14,109","7,633","3,649",,9.60%
"Jackson County, Missouri","337,144",738,"21,632","29,678","9,462","38,900","19,817","7,450","23,910","42,912","79,006","32,474","15,837","15,328",,10.80%
"Jasper County, Missouri","58,582",484,"3,175","8,293",792,"8,816","5,223",816,"2,190","3,147","14,302","6,292","3,988","1,064",,8.60%
"Jefferson County, Missouri","111,048",820,"11,796","13,201","2,744","12,717","5,011","1,680","7,531","10,589","24,319","9,449","7,151","4,040",,8.70%
